Vertices:
Localização 1
Localização 2
Localização 3
Localização 4
Localização 5
Localização 6
Localização 7
Localização 8
Localização 9
Localização 10
Localização 11
Localização 12
Localização 13
Localização 14
Localização 15
Localização 16
Localização 17
Localização 18
Localização 19
Localização 20
Localização 21
Localização 22
Localização 23
Localização 24
Localização 25
Localização 26
Localização 27
Localização 28
Localização 29
Localização 30
Localização 31
Localização 32
Localização 33
Localização 34
Localização 35
Localização 36
Localização 37
Localização 38
Localização 39
Localização 40
Localização 41
Localização 42
Localização 43
Localização 44
Localização 45
Localização 46
Localização 47
Localização 48
Localização 49
Localização 50
Localização 51
Localização 52
Localização 53
Localização 54
Localização 55
Localização 56
Localização 57
Localização 58
Localização 59
Localização 60
Localização 61
Localização 62
Localização 63
Localização 64
Localização 65
Localização 66
Localização 67
Localização 68
Localização 69
Localização 70
Localização 71
Localização 72
Localização 73
Localização 74
Localização 75
Localização 76
Localização 77
Localização 78
Localização 79
Localização 80
Localização 81
Localização 82
Localização 83
Localização 84
Localização 85
Localização 86
Localização 87
Localização 88
Localização 89
Localização 90
Localização 91
Localização 92
Localização 93
Localização 94
Localização 95
Localização 96
Localização 97
Localização 98
Localização 99

Arestas:
Localização 1, Localização 5, 6.1
Localização 1, Localização 10, 14.6
Localização 1, Localização 11, 2.8
Localização 1, Localização 17, 4.1
Localização 1, Localização 21, 6.2
Localização 1, Localização 23, 14.3
Localização 1, Localização 25, 8.8
Localização 1, Localização 28, 15.5
Localização 1, Localização 34, 10.9
Localização 1, Localização 45, 8.5
Localização 1, Localização 46, 2.7
Localização 1, Localização 47, 8.0
Localização 1, Localização 69, 3.6
Localização 1, Localização 70, 14.2
Localização 1, Localização 75, 9.4
Localização 1, Localização 76, 6.4
Localização 1, Localização 80, 7.2
Localização 1, Localização 87, 8.2
Localização 1, Localização 93, 9.3
Localização 2, Localização 20, 4.2
Localização 2, Localização 21, 4.5
Localização 2, Localização 23, 11.0
Localização 2, Localização 29, 2.2
Localização 2, Localização 38, 7.8
Localização 2, Localização 42, 2.9
Localização 2, Localização 45, 12.7
Localização 2, Localização 48, 9.0
